"sim","optMLE2_beta0","optMLE2_beta1","optMLE2_beta2","optMLE2_conv_msg","optMLE_wave1_est","optMLE_data_resampled","optMLE_sing_inf","tpr","fpr"
177,-2.34262768522952,2.38863156316945,-0.0810828124236897,"Converged","CC",TRUE,FALSE,0.99,0.01
178,-1.90844747960147,1.47585787595431,-0.0567343941860855,"Converged","MLE",FALSE,FALSE,0.99,0.01
179,-2.48350891491395,2.34922773654551,-0.0321509544169761,"Converged","MLE",FALSE,FALSE,0.99,0.01
180,-1.76128838033864,2.52309578938597,-0.14311548665931,"Converged","MLE",TRUE,FALSE,0.99,0.01
181,-2.60895110784415,3.67487332860088,-0.0635327181766214,"Converged","MLE",FALSE,FALSE,0.99,0.01
182,-1.80501613240207,1.20562792105131,-0.098967446118659,"Converged","MLE",TRUE,FALSE,0.99,0.01
183,-2.01729474197965,1.92857821241299,-0.0879696059907976,"Converged","MLE",FALSE,FALSE,0.99,0.01
184,-1.81527819429035,2.45395584061025,-0.179556377823509,"Converged","MLE",FALSE,FALSE,0.99,0.01
185,-1.58014977699491,1.37107019100459,-0.14107987424762,"Converged","MLE",FALSE,FALSE,0.99,0.01
186,-2.04113938574723,2.63783494184731,-0.104352238010833,"Converged","MLE",FALSE,FALSE,0.99,0.01
187,-2.35135669608485,2.07502489349814,-0.00905619418257235,"Converged","MLE",FALSE,FALSE,0.99,0.01
188,-2.15310228347862,3.33690417598925,-0.174435815172806,"Converged","MLE",FALSE,FALSE,0.99,0.01
189,-2.77525594704118,2.8332161719601,0.00141186870206786,"Converged","MLE",FALSE,FALSE,0.99,0.01
190,-2.25907796741339,2.72205566419447,-0.115389369744312,"Converged","MLE",FALSE,FALSE,0.99,0.01
191,-1.87111335628407,2.20945909339901,-0.162695360365717,"Converged","MLE",FALSE,FALSE,0.99,0.01
192,-1.86922025541535,1.28261151573486,-0.0616142177898216,"Converged","MLE",FALSE,FALSE,0.99,0.01
193,-1.6831215029084,1.43816440367584,-0.142242336199339,"Converged","MLE",FALSE,FALSE,0.99,0.01
194,-2.07992223921466,2.35214364726427,-0.154140814456514,"Converged","MLE",FALSE,FALSE,0.99,0.01
195,-1.88896343575173,2.84302963681946,-0.18316842803059,"Converged","MLE",FALSE,FALSE,0.99,0.01
196,-1.06968352865573,-0.735161246176116,-0.106263320146315,"Converged","MLE",FALSE,FALSE,0.99,0.01
197,-2.16597845843617,1.6390190921721,-0.05224585374917,"Converged","MLE",FALSE,FALSE,0.99,0.01
198,-1.59671222440526,1.56120194610926,-0.119571333089387,"Converged","MLE",FALSE,FALSE,0.99,0.01
199,-2.04191017029029,2.97807525266703,-0.143789902813264,"Converged","CC",FALSE,FALSE,0.99,0.01
200,-1.58849204217882,1.23635652663238,-0.13082799266,"Converged","MLE",FALSE,FALSE,0.99,0.01
201,-1.11508955444375,0.423223440341414,-0.183272328306673,"Converged","MLE",FALSE,FALSE,0.99,0.01
202,-1.84309784025528,1.65793466145768,-0.109842892384445,"Converged","MLE",FALSE,FALSE,0.99,0.01
203,-2.21741765598261,1.63113204526345,-0.0307022275319078,"Converged","MLE",TRUE,FALSE,0.99,0.01
204,-2.1672801949601,2.42022216069529,-0.102238067382125,"Converged","MLE",TRUE,FALSE,0.99,0.01
205,-2.18704259867561,3.05108572314761,-0.133926755746133,"Converged","MLE",TRUE,FALSE,0.99,0.01
206,-1.6376387413913,0.681342179338115,-0.1060661500048,"Converged","MLE",TRUE,FALSE,0.99,0.01
207,-1.96459427179173,2.44998630738493,-0.109119280134652,"Converged","MLE",FALSE,FALSE,0.99,0.01
208,-1.76542140823357,0.766540446547385,-0.0527196439573458,"Converged","MLE",FALSE,FALSE,0.99,0.01
209,-1.37283063917025,1.04804680774717,-0.1422437761625,"Converged","MLE",TRUE,FALSE,0.99,0.01
210,-1.81213584079554,1.93140552441956,-0.105259992143717,"Converged","MLE",FALSE,FALSE,0.99,0.01
211,-1.58611311185252,2.30308388324732,-0.199581503077697,"Converged","MLE",TRUE,FALSE,0.99,0.01
212,-1.86004108444129,1.79936513002187,-0.13729902030003,"Converged","MLE",FALSE,FALSE,0.99,0.01
213,-2.15802264909673,4.01800086234591,-0.19477254699702,"Converged","MLE",TRUE,FALSE,0.99,0.01
214,-1.44842864533816,1.34506523408133,-0.159932340274337,"Converged","MLE",FALSE,FALSE,0.99,0.01
215,-2.19955415478501,2.54990854763046,-0.0628993930985366,"Converged","MLE",FALSE,FALSE,0.99,0.01
216,-1.45641180636235,1.32772077597611,-0.136575340376372,"Converged","MLE",FALSE,FALSE,0.99,0.01
217,-2.23738027112107,2.43520975750093,-0.037487233550009,"Converged","MLE",FALSE,FALSE,0.99,0.01
218,-1.33819778381133,-0.17348018454156,-0.042862371341611,"Converged","MLE",FALSE,FALSE,0.99,0.01
219,-2.36057102603564,1.55936920520383,0.0423391914167935,"Converged","MLE",FALSE,FALSE,0.99,0.01
220,-1.93834806971766,2.03833906202002,-0.0844469798816148,"Converged","MLE",FALSE,FALSE,0.99,0.01
221,-1.55988403880127,0.94202680767066,-0.11584273920239,"Converged","MLE",FALSE,FALSE,0.99,0.01
222,-1.85147966371335,2.05914195469927,-0.113778169257871,"Converged","MLE",FALSE,FALSE,0.99,0.01
223,-1.8596065370598,1.51826286696223,-0.0648686983521723,"Converged","MLE",FALSE,FALSE,0.99,0.01
224,-2.00717667369461,2.33938011133412,-0.049255621695459,"Converged","MLE",FALSE,FALSE,0.99,0.01
225,-1.50237693040189,1.02321492337102,-0.117466783759202,"Converged","MLE",FALSE,FALSE,0.99,0.01
226,-2.35968131892689,2.54837516900574,-0.0752567255628104,"Converged","MLE",FALSE,FALSE,0.99,0.01
227,-2.00020469962098,2.37529728093719,-0.0943400317332408,"Converged","MLE",FALSE,FALSE,0.99,0.01
228,-2.54428827727184,2.20517110711447,-0.00646917831394304,"Converged","MLE",TRUE,FALSE,0.99,0.01
